id_x,company_id,year_x,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,return_on_capital_employed_pct,return_on_assets_pct,net_debt_cr,revenue_cagr_3yr,revenue_cagr_5yr,revenue_cagr_10yr,pat_cagr_3yr,pat_cagr_5yr,pat_cagr_10yr,eps_cagr_3yr,eps_cagr_5yr,eps_cagr_10yr,composite_quality_score,high_leverage_flag,icr_label,year_y,market_cap_crore,pe_ratio,pb_ratio,dividend_yield_pct,id_y,company_name,score
1136,TRENT,Mar 2024,11.935353535353535,15.927272727272726,36.30776794493609,0.4309,8.0435,1.7279,841.0,508.0,42.0,11.3,8.0,1753,1349.0,50.85036935234496,20.622731080703712,,49.48525037772824,33.93602929650476,,272.4976245019792,76.37074131332167,,,,,,,,2024.0,571322.04,8.65,11.82,3.46,TRENT,Trent Ltd,90
411,EICHERMOT,Mar 2024,24.195694242864054,26.179245283018872,22.172346910501524,0.0232,114.7059,0.7154,890.0,2834.0,146.0,66.8333,35.0,419,3724.0,31.683275563258235,17.309106640709494,,18.396317744522527,13.300366111539773,,36.53074165448827,18.49422168054984,,,,,,,,2024.0,222391.83,15.62,13.61,4.41,EICHERMOT,Eicher Motors Ltd,90
753,MARUTI,Mar 2024,9.50809964894472,13.130031439890594,15.750385351954785,0.0014,117.9072,1.2303,4936.0,11865.0,429.0,54.5452,29.0,119,16801.0,26.67366334324529,11.697772843960314,,18.022757073173622,13.927307119657995,,53.455486798535404,19.816525134985817,,,,,,,,2024.0,1503863.63,20.78,8.26,1.78,MARUTI,Maruti Suzuki India Ltd,90
825,ONGC,Mar 2024,9.655290194725701,17.388518015001793,16.940398136885513,0.4544,11.3613,0.8332,42060.0,57203.0,39.0,5.3588,31.0,153181,99263.0,23.62402116466871,8.044955154739396,,10.271062741443583,10.672105140004406,,-4.957642697348219,29.86811317565097,,,,,,,,2024.0,390111.05,18.15,10.36,1.11,ONGC,Oil & Natural Gas Corpn Ltd,90
137,ASIANPAINT,Mar 2024,15.658543456824905,21.3692069305536,29.677488252883382,0.1321,41.0049,1.1871,3556.0,2548.0,57.0,19.5083,58.0,2474,6104.0,39.64720309404773,18.588007090063876,,6.174284608187852,11.500195340146258,,14.500277056849864,10.793342537824358,,,,,,,,2024.0,2126725.18,73.37,3.9,2.42,ASIANPAINT,Asian Paints Indian Multi-National Paint and Coating Manufacturing Company,85
729,LTIM,Mar 2024,12.90931103415266,17.982937748120616,22.904386052552702,0.1035,31.9324,1.2895,1752.0,3918.0,155.0,66.7267,42.0,2071,5670.0,32.09289691701752,16.64609352309033,,12.453852441789937,27.827664798052343,,5.010571378400597,24.649492447050548,,,,,,,,2024.0,1347046.9,64.52,2.38,4.43,LTIM,LTIMindtree Ltd,85
399,DRREDDY,Mar 2024,19.913605369319196,28.321016743422227,19.74233736816026,0.0709,51.7076,0.7223,509.0,4034.0,67.0,34.041,12.0,2002,4543.0,29.223955579058696,14.383702939659617,,13.171531511760492,12.258612355753694,,35.662802441078334,21.876375888062437,,,,,,,,2024.0,2441803.28,11.73,10.19,0.09,DRREDDY,Dr Reddys Laboratories Ltd,80
765,MOTHERSON,Mar 2024,3.0600251286831757,9.445547764763102,11.546549416937488,0.7617,5.2247,1.1724,925.0,6644.0,4.0,3.8577,20.0,19922,7569.0,20.535191093170127,3.58763572429851,,19.70181463075662,12.488971510861301,,51.657986620033334,26.082790358764175,,,,,,,,2024.0,146151.16,9.54,2.38,2.18,MOTHERSON,Samvardhana Motherson International Ltd,80
243,BEL,Mar 2024,19.661535425300965,24.921057825143084,4744.047619047619,0.5119,476.75,125.8882,-1265.0,5924.0,5.0,0.7636,40.0,43,4659.0,4504.72440944882,2475.1552795031057,,11.972442265932749,10.71731890624774,,23.68397094243564,19.99902755061833,,,,,,,,2024.0,1354781.06,17.89,9.22,0.76,BEL,Bharat Electronics Ltd,80
267,BOSCHLTD,Mar 2024,14.886112273569676,12.524660728164047,20.639920424403183,0.0032,71.7843,0.9638,1536.0,283.0,844.0,40.2133,44.0,39,1253.0,30.2486986697513,14.34745030250648,,13.330908088299331,11.747072046217323,,19.63797277977788,26.239966784649837,,,,,,,,2024.0,2599556.05,58.43,6.47,4.23,BOSCHLTD,Bosch Ltd,75
