company_id,company_logo,company_name,chart_link,about_company,website,nse_profile,bse_profile,face_value,book_value,roce_percentage,roe_percentage,id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,return_on_capital_employed_pct,return_on_assets_pct,net_debt_cr,revenue_cagr_3yr,revenue_cagr_5yr,revenue_cagr_10yr,pat_cagr_3yr,pat_cagr_5yr,pat_cagr_10yr,eps_cagr_3yr,eps_cagr_5yr,eps_cagr_10yr,composite_quality_score,high_leverage_flag,icr_label,id_market,year_market,market_cap_crore,enterprise_value_crore,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct,financial_score,rating
HAL,https://mkt.in/static/mkt-icons/nifty100/HAL.png,Hindustan Aeronautics Ltd,https://in.tradingview.com/chart/qGsydD2w/?symbol=NSE%3AAMBUJACEM.T0,"Hindustan Aeronautics is engaged in the business of Manufacture of Aircraft and Helicopters and Repair, Maintenance of Aircraft and Helicopters",https://hal-india.co.in/,https://www.nseindia.com/get-quotes/equity?symbol=HAL,https://www.bseindia.com/stock-share-price/hindustan-aeronautics-ltd/HAL/541154/,5.0,465.0,38.9,28.9,455.0,Mar 2024,24.999177117277245,32.08913465652875,3816.5829145728644,0.6181,270.8837,67.5133,1814.0,6412.0,114.0,3.98,31.0,123.0,8226.0,3617.391304347826,1687.7777777777776,,,,,,,,,,,,,,216,2024,2643616.86,3140281.78,71.89,3.65,8.76,2.77,88.71171937490789,Excellent
HAL,https://mkt.in/static/mkt-icons/nifty100/HAL.png,Hindustan Aeronautics Ltd,https://in.tradingview.com/chart/qGsydD2w/?symbol=NSE%3AAMBUJACEM.T0,"Hindustan Aeronautics is engaged in the business of Manufacture of Aircraft and Helicopters and Repair, Maintenance of Aircraft and Helicopters",https://hal-india.co.in/,https://www.nseindia.com/get-quotes/equity?symbol=HAL,https://www.bseindia.com/stock-share-price/hindustan-aeronautics-ltd/HAL/541154/,5.0,465.0,38.9,28.9,455.0,Mar 2024,24.999177117277245,32.08913465652875,3816.5829145728644,0.6181,270.8837,67.5133,1814.0,6412.0,114.0,3.98,31.0,123.0,8226.0,3617.391304347826,1687.7777777777776,,,,,,,,,,,,,,216,2024,2643616.86,3140281.78,71.89,3.65,8.76,2.77,88.71171937490789,Excellent
ITC,https://mkt.in/static/mkt-icons/nifty100/ITC.png,"ITC Ltd
",https://in.tradingview.com/chart/?symbol=ITC,"ITC Limited is an Indian conglomerate, headquartered in Kolkata. It has a presence across six business segments, namely FMCG, hotels, agribusiness, information technology, paper products, and packaging.",https://www.itcportal.com/,https://www.nseindia.com/get-quotes/equity?symbol=ITC,https://www.bseindia.com/stock-share-price/itc-ltd/itc/500875/,1.0,60.0,34.76,29.47,640.0,Mar 2024,29.282025230717128,37.0177518132814,27.851074395694365,0.0041,362.9625,0.7723,18742.0,1563.0,16.0,5.9701,84.0,303.0,17179.0,38.814329635075524,22.61590775334045,,,,,,,,,,,,,,318,2024,332245.58,369131.93,47.85,3.24,17.19,4.26,86.92290827894269,Excellent
ITC,https://mkt.in/static/mkt-icons/nifty100/ITC.png,"ITC Ltd
",https://in.tradingview.com/chart/?symbol=ITC,"ITC Limited is an Indian conglomerate, headquartered in Kolkata. It has a presence across six business segments, namely FMCG, hotels, agribusiness, information technology, paper products, and packaging.",https://www.itcportal.com/,https://www.nseindia.com/get-quotes/equity?symbol=ITC,https://www.bseindia.com/stock-share-price/itc-ltd/itc/500875/,1.0,60.0,34.76,29.47,640.0,Mar 2024,29.282025230717128,37.0177518132814,27.851074395694365,0.0041,362.9625,0.7723,18742.0,1563.0,16.0,5.9701,84.0,303.0,17179.0,38.814329635075524,22.61590775334045,,,,,,,,,,,,,,318,2024,332245.58,369131.93,47.85,3.24,17.19,4.26,86.92290827894269,Excellent
NESTLEIND,https://mkt.in/static/mkt-icons/nifty100/NESTLEIND.png,Nestle India Ltd,https://in.tradingview.com/chart/?symbol=NSE%3ANESTLEIND,"Nestle India Limited is the Indian subsidiary of Nestle which is a Swiss multinational company. The company is headquartered in Gurgaon, Haryana. The company's products include food, beverages, chocolate, and confectioneries.",https://www.nestle.in/,https://www.nseindia.com/get-quotes/equity?symbol=NESTLEIND,https://www.bseindia.com/stock-share-price/nestle-india-ltd/nestleind/500790/,1.0,41.0,185.43,135.61,789.0,Mar 2024,16.12281708616873,23.829630236943512,117.75449101796407,0.1033,41.1862,2.3182,2938.0,1237.0,41.0,3.4792,79.0,345.0,4175.0,162.06241519674356,37.37527321106148,,,,,,,,,,,,,,402,2024,1677775.19,1677279.88,54.96,14.34,15.49,3.85,86.8888590588299,Excellent
NESTLEIND,https://mkt.in/static/mkt-icons/nifty100/NESTLEIND.png,Nestle India Ltd,https://in.tradingview.com/chart/?symbol=NSE%3ANESTLEIND,"Nestle India Limited is the Indian subsidiary of Nestle which is a Swiss multinational company. The company is headquartered in Gurgaon, Haryana. The company's products include food, beverages, chocolate, and confectioneries.",https://www.nestle.in/,https://www.nseindia.com/get-quotes/equity?symbol=NESTLEIND,https://www.bseindia.com/stock-share-price/nestle-india-ltd/nestleind/500790/,1.0,41.0,185.43,135.61,789.0,Mar 2024,16.12281708616873,23.829630236943512,117.75449101796407,0.1033,41.1862,2.3182,2938.0,1237.0,41.0,3.4792,79.0,345.0,4175.0,162.06241519674356,37.37527321106148,,,,,,,,,,,,,,402,2024,1677775.19,1677279.88,54.96,14.34,15.49,3.85,86.8888590588299,Excellent
LICI,https://mkt.in/static/mkt-icons/nifty100/LICI.png,Life Insurance Corporation of India,https://in.tradingview.com/chart/?symbol=NSE%3ALICI,Life Insurance Corporation of India is an Indian multinational public sector life insurance company headquartered in Mumbai,https://www.licindia.in/,https://www.nseindia.com/get-quotes/equity?symbol=LICI,https://www.bseindia.com/stock-share-price/life-insurance-corporation-of-india/lici/543526/,10.0,154.0,63.79,63.61,696.0,Mar 2024,4.836600998148862,3.87474201090824,49.44710986501021,0.0,371.9375,0.1591,853.0,25269.0,66.0,1.3083,15.0,0.0,26122.0,57.534412123702374,0.7696696436280568,,,,,,,,,,,,,,354,2024,183583.67,205478.22,30.67,8.1,12.21,3.77,86.83925752739614,Excellent
LICI,https://mkt.in/static/mkt-icons/nifty100/LICI.png,Life Insurance Corporation of India,https://in.tradingview.com/chart/?symbol=NSE%3ALICI,Life Insurance Corporation of India is an Indian multinational public sector life insurance company headquartered in Mumbai,https://www.licindia.in/,https://www.nseindia.com/get-quotes/equity?symbol=LICI,https://www.bseindia.com/stock-share-price/life-insurance-corporation-of-india/lici/543526/,10.0,154.0,63.79,63.61,696.0,Mar 2024,4.836600998148862,3.87474201090824,49.44710986501021,0.0,371.9375,0.1591,853.0,25269.0,66.0,1.3083,15.0,0.0,26122.0,57.534412123702374,0.7696696436280568,,,,,,,,,,,,,,354,2024,183583.67,205478.22,30.67,8.1,12.21,3.77,86.83925752739614,Excellent
BEL,https://mkt.in/static/mkt-icons/nifty100/BEL.png,Bharat Electronics Ltd,https://in.tradingview.com/chart/?symbol=NSE%3ABEL,"Incorporated in 1954, Bharat Electronics Ltd manufactures and supplies electronic equipment and systems to the defence sector. Company also has a limited presence in the civilian market",http://www.bel-india.in/,https://www.nseindia.com/get-quotes/equity?symbol=BEL,https://www.bseindia.com/stock-share-price/bharat-electronics-ltd/BEL/500049/,1.0,24.0,34.6,26.3,243.0,Mar 2024,19.661535425300965,24.921057825143084,4744.047619047619,0.5119,476.75,125.8882,-1265.0,5924.0,5.0,0.7636,40.0,43.0,4659.0,4504.72440944882,2475.1552795031057,,,,,,,,,,,,,,102,2024,1354781.06,1259877.04,17.89,9.22,23.14,0.76,83.34006604198471,Excellent
BEL,https://mkt.in/static/mkt-icons/nifty100/BEL.png,Bharat Electronics Ltd,https://in.tradingview.com/chart/?symbol=NSE%3ABEL,"Incorporated in 1954, Bharat Electronics Ltd manufactures and supplies electronic equipment and systems to the defence sector. Company also has a limited presence in the civilian market",http://www.bel-india.in/,https://www.nseindia.com/get-quotes/equity?symbol=BEL,https://www.bseindia.com/stock-share-price/bharat-electronics-ltd/BEL/500049/,1.0,24.0,34.6,26.3,243.0,Mar 2024,19.661535425300965,24.921057825143084,4744.047619047619,0.5119,476.75,125.8882,-1265.0,5924.0,5.0,0.7636,40.0,43.0,4659.0,4504.72440944882,2475.1552795031057,,,,,,,,,,,,,,102,2024,1354781.06,1259877.04,17.89,9.22,23.14,0.76,83.34006604198471,Excellent
